缺口编号,PRD章节锚点,缺口描述,建议动作,建议REQ或占位,状态,备注,负责人,目标关闭日期
G1,## 文档信息,印刷版导出规则、WPS 目标集成声明无独立需求行,新增 META-001～002 或并入交付验收 checklist,META-001～002,待处理,见 requirements-prd-coverage-gap.md §3,,
G2,## 项目背景与目标,背景/目标无映射到追踪表,新增 BG-001～n 或映射到 ACC/SCOPE 并写交叉引用,BG-001～n,待处理,,,
G3,## 系统功能结构,一级菜单、资源二级菜单无需求 ID,新增 NAV-001（一级菜单）、NAV-002（资源四类子菜单）,NAV-001～002,待处理,,,
G4,页面层级-资源管理-业务流程 第2步,加载列表与左右详情区未单独 ID（已并入 RM-002）,接受合并则在 RM-002 备注子步骤；或新增 RM-024 拆分,RM-002 或 RM-024,待处理,,,
G5,范本管理-归档/解除归档,规则与术语有，页面/细粒度无「点击归档」类条目,产品确认：已实现则补 TP-xxx+细粒度；未做则 PRD 标明仅规则预留,TP-0xx 待定,待处理,,,
G6,## 接口与集成-规范性引用,长 bullet 已由 REF-001/002 覆盖；可能需细化到文档章节/URI,按需增补 REF-005… 或附件页码,REF-005…,待处理,,,
G7,## 接口与集成-文档中台侧关键接口,INT-002～005 为概括行；与 OpenAPI 一对一需加行,占用 INT-013… 或维护单独接口清单,INT-013…,待处理,,,
G8,## 文档体系常见附件-接口错误,ERR 与 INT-012 交叉索引；避免重复测试,在 INT-012 依赖/备注写「详见 ERR-xxx」,INT-012+ERR,待处理,,,
G9,semi-auto 空号段,空 ID 为预留非表示无需求,发布前删减号段或补全拆条,各前缀空行,待处理,,,
G10,OUT-BID-003～010,占位行与非本期 SCOPE-006～009 可能重复维护,合并叙事或删除冗余占位 ID,OUT-BID/SCOPE,待处理,,,
